source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,invalid_reason
MALE,0,SG_PASAR_PREOP_CHAR_GENDER,MALE,8507,,
FEMALE,0,SG_PASAR_PREOP_CHAR_GENDER,FEMALE,8532,,
Chinese,0,SG_PASAR_PREOP_CHAR_RACE,Chinese,38003579,,
Indian,0,SG_PASAR_PREOP_CHAR_RACE,Indian,38003574,,
Malay,0,SG_PASAR_PREOP_CHAR_RACE,Malay,0,,
Other Races,0,SG_PASAR_PREOP_CHAR_RACE,Other Races,0,,
PHENYTOIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYTOIN,740910,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
MORPHINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,MORPHINE,1110410,,
KETAMINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,KETAMINE,785649,,
EXPUNKNOWN,0,SG_PASAR_INTRAOP_DRUG_DRUG,EXPUNKNOWN,0,,
OXYTOCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,OXYTOCIN,1326115,,
BUPIVICAINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,BUPIVICAINE,732893,,
REMIFENTANIL,0,SG_PASAR_INTRAOP_DRUG_DRUG,REMIFENTANIL,19016749,,
DEXAMETHASONE,0,SG_PASAR_INTRAOP_DRUG_DRUG,DEXAMETHASONE,1518254,,
PHENYLEPHRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYLEPHRINE,1135766,,
TRANEXAMIC ACID,0,SG_PASAR_INTRAOP_DRUG_DRUG,TRANEXAMIC ACID,1303425,,
SOMATOSTATIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,SOMATOSTATIN,19136066,,
SODIUM NITROPRUSSIDE,0,SG_PASAR_INTRAOP_DRUG_DRUG,SODIUM NITROPRUSSIDE,19020994,,
ADRENALINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,ADRENALINE,1343916,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
EPHEDRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,EPHEDRINE,1143374,,
CEFTRIAXONE,0,SG_PASAR_INTRAOP_DRUG_DRUG,CEFTRIAXONE,1777806,,
ROPIV.,0,SG_PASAR_INTRAOP_DRUG_DRUG,ROPIV.,1136487,,
PHENYLEPHRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYLEPHRINE,1135766,,
REMIFENTANIL,0,SG_PASAR_INTRAOP_DRUG_DRUG,REMIFENTANIL,19016749,,
EPHEDRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,EPHEDRINE,1143374,,
EPHEDRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,EPHEDRINE,1143374,,
METRONIDAZOLE,0,SG_PASAR_INTRAOP_DRUG_DRUG,METRONIDAZOLE,1707164,,
EPHEDRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,EPHEDRINE,1143374,,
ROCURONIUM,0,SG_PASAR_INTRAOP_DRUG_DRUG,ROCURONIUM,19003953,,
AMIODARONE,0,SG_PASAR_INTRAOP_DRUG_DRUG,AMIODARONE,1309944,,
ROCURONIUM,0,SG_PASAR_INTRAOP_DRUG_DRUG,ROCURONIUM,19003953,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
DOPAMINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,DOPAMINE,1337860,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
EMLA,0,SG_PASAR_INTRAOP_DRUG_DRUG,EMLA,951279,,
EMLA,0,SG_PASAR_INTRAOP_DRUG_DRUG,EMLA,989878,,
BUPIVICAINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,BUPIVICAINE,732893,,
ATRACURIUM,0,SG_PASAR_INTRAOP_DRUG_DRUG,ATRACURIUM,19014341,,
OMEPRAZOLE,0,SG_PASAR_INTRAOP_DRUG_DRUG,OMEPRAZOLE,923645,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
EPHEDRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,EPHEDRINE,1143374,,
AMIODARONE,0,SG_PASAR_INTRAOP_DRUG_DRUG,AMIODARONE,1309944,,
NICARDIPINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,NICARDIPINE,1318137,,
GENTAMICIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,GENTAMICIN,45892419,,
MIDAZOLAM,0,SG_PASAR_INTRAOP_DRUG_DRUG,MIDAZOLAM,708298,,
PROCAINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PROCAINE,751698,,
VANCOMYCIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,VANCOMYCIN,1707687,,
PHENYTOIN,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYTOIN,740910,,
TRANEXAMIC ACID,0,SG_PASAR_INTRAOP_DRUG_DRUG,TRANEXAMIC ACID,1303425,,
REMIFENTANIL,0,SG_PASAR_INTRAOP_DRUG_DRUG,REMIFENTANIL,19016749,,
PHENYLEPHRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYLEPHRINE,1135766,,
ESMOLOL,0,SG_PASAR_INTRAOP_DRUG_DRUG,ESMOLOL,19063575,,
PHENYLEPHRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYLEPHRINE,1135766,,
DOBUTAMINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,DOBUTAMINE,1337720,,
PHENYLEPHRINE,0,SG_PASAR_INTRAOP_DRUG_DRUG,PHENYLEPHRINE,1135766,,
